dataset,Default_accuracy,Optimized_accuracy,Random_accuracy,Default_f1,Optimized_f1,Random_f1
ArrowHead,0.5028571428571429,0.4857142857142857,0.3942857142857143,0.441445707070707,0.3838173018753781,0.1885245901639344
DistalPhalanxTW,0.6402877697841727,0.60431654676259,0.5971223021582733,0.500637526189701,0.30596030109945027,0.29348951478459245
GestureMidAirD2,0.4307692307692308,0.12307692307692308,0.18461538461538463,0.3962908885985809,0.08161343487430443,0.14620976189802098
UCI-HAR,0.8873430607397353,0.8262639972853749,0.8761452324397693,0.8862869974984146,0.8222378635731733,0.8742295885364476
Wafer,0.9977287475665152,0.9630110317975341,0.9365671641791045,0.9941159127549196,0.9003434320743093,0.8342446314701532
Average,0.6917971903433594,0.6004765569273416,0.5977471595356493,0.6437554064224646,0.4987944666993231,0.4673396173706297
