,mean_importance,std_importance,min_importance,max_importance
TrainInnerModel,0.21388315906564115,0.020918310312413233,0.1850625892568742,0.24381238507426295
learning_rate,0.10670379680004265,0.018394490488734642,0.08122437727997532,0.13961918619025213
num_train_epochs,0.10516888924051697,0.02342700258586102,0.0655751134321422,0.1491193786318721
warmup_ratio,0.08169986540558079,0.017622915533782202,0.05940862941242053,0.11660755760543882
dropout_head,0.02477609576629356,0.01415652658001276,0.007598122032748232,0.05646314654752446
effective_batch_size,0.02351764259432908,0.013235100720417666,0.009920886853807293,0.05358194809802656
