,mean_importance,std_importance,min_importance,max_importance
TrainInnerModel,0.17607588930174844,0.026102686720915442,0.14261149842947024,0.21758352403155856
num_train_epochs,0.1149382834499895,0.023342499822235335,0.07160806060518854,0.14339840782879662
learning_rate,0.10658622677276627,0.02029703787850635,0.0800527289934242,0.1384774946079245
effective_batch_size,0.07142105129477275,0.01680297610985068,0.043981268781423735,0.10352223018210249
dropout_head,0.03313023105208763,0.013764632617306266,0.015536342903304752,0.06111456735263678
warmup_ratio,0.029148895677921987,0.010563457528848165,0.015780603033029597,0.05055066533591587
