,mean_importance,std_importance,min_importance,max_importance
TrainInnerModel,0.5693876769863849,0.04319655093439318,0.5040257337338976,0.6474346529973551
learning_rate,0.12419243005007179,0.022930909043041278,0.08091153429170148,0.17093513620005643
dropout_head,0.017716905710603848,0.006663387808513643,0.004384151104697079,0.02689576243237842
warmup_ratio,0.017091076734507465,0.007927493028917832,0.008592034987520997,0.028720080921288284
effective_batch_size,0.008821315348082764,0.009184545102705714,0.0009433585679818847,0.02788875257270839
num_train_epochs,0.00626060860701212,0.003047412131780506,0.0032221689466720355,0.011938437297270827
