,mean_importance,std_importance,min_importance,max_importance
TrainInnerModel,0.7685464529675533,0.03522338552141674,0.7083342052574747,0.8212028777889353
learning_rate,0.04434538577750491,0.007734239738190867,0.033835514691318895,0.058708104070136824
num_train_epochs,0.02913676373215679,0.0056949462386459565,0.02149624913773139,0.03816771616898877
dropout_head,0.012248116114157426,0.009987422322809629,0.0038819499183905238,0.03649957953630627
effective_batch_size,0.0094637875439632,0.003942696345008506,0.0012339875714284445,0.015622986388786193
warmup_ratio,0.00894676754490923,0.0032122483832577233,0.003741861279416191,0.014115068128433408
