,mean_importance,std_importance,min_importance,max_importance
TrainInnerModel,0.29086921830732276,0.03780687723457272,0.2293458193451872,0.3488336941891981
warmup_ratio,0.1218854356286333,0.04954462166702666,0.06199680528936243,0.207491178543717
dropout_head,0.09693728344336525,0.05559268515241553,0.04562691378962609,0.22697210727414785
learning_rate,0.06633189663804875,0.020436561182959972,0.033623473899257184,0.09361860417084814
num_train_epochs,0.03785748078999986,0.009367939786859748,0.030683636248127588,0.062120827200579876
effective_batch_size,0.014565842504072692,0.006545639799877555,0.006230004838373358,0.028506458778881676
