hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
num_train_epochs,0.43598579022738027,0.0017396754805213642,0.3472144729621163,0.014511948316864753,0.43598579022738027
warmup_ratio,-0.21294740994912512,0.14181654800664184,0.08938308287348191,0.5413625170717088,0.21294740994912512
dropout_head,0.18343803499093897,0.2070727546165646,0.009534890196499411,0.9481559727637758,0.18343803499093897
effective_batch_size,-0.1266715669505298,0.38577123737448327,-0.04945562629767008,0.7357709027737752,0.1266715669505298
learning_rate,0.03435953174197104,0.8146924199610451,0.08567697195240419,0.5583229268378885,0.03435953174197104
