hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
TrainInnerModel,0.8389866681525657,1.2029180944012865e-27,0.5393217198040442,7.062854451866054e-09,0.8389866681525657
num_train_epochs,0.24812852979158304,0.01280501038622948,0.24686509095709194,0.01328398057338007,0.24812852979158304
learning_rate,0.11534701379252604,0.2531269198633049,0.2168884081646046,0.030197790429927283,0.11534701379252604
warmup_ratio,-0.08568137636692272,0.39665984665492493,-0.02382012916546763,0.8140225555383998,0.08568137636692272
dropout_head,0.06707353171324403,0.5072986766432138,-0.00327729415952595,0.9741841743318473,0.06707353171324403
effective_batch_size,0.05965330188977503,0.555486671194407,-0.07818826172298111,0.439382012218726,0.05965330188977503
