hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
TrainInnerModel,0.6847113178006664,3.993745497275946e-15,0.6794958765171395,7.721852016744611e-15,0.6847113178006664
learning_rate,0.44279009575262995,3.968250955357289e-06,0.32509467350763543,0.0009661646079557914,0.44279009575262995
num_train_epochs,0.28149325397451497,0.004551816250990853,0.24232708622406224,0.015135240558478284,0.28149325397451497
effective_batch_size,0.07409117527071633,0.46379972838129,0.024011588989757453,0.8125549948147467,0.07409117527071633
dropout_head,0.06518470602828887,0.5193565892546392,0.08448387378230308,0.4033166504398648,0.06518470602828887
warmup_ratio,-0.009984541413377948,0.9214617818689854,-0.017049081852622574,0.8663004305159642,0.009984541413377948
