hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
learning_rate,0.7120247173861257,9.664406402695386e-09,0.5517020030265775,3.974803291876874e-05,0.7120247173861257
num_train_epochs,0.531293524263053,8.571231162350818e-05,0.4908423610604637,0.0003425817470304498,0.531293524263053
effective_batch_size,-0.1112147859135586,0.446793944076723,-0.124705830932029,0.3932460833770797,0.1112147859135586
dropout_head,0.07842739088598703,0.5922035155567982,0.11799269261061268,0.41940549174513436,0.07842739088598703
warmup_ratio,0.004340057438352147,0.9763890634105834,-0.02315183013863908,0.8745354441836505,0.004340057438352147
