hyperparameter,spearman_corr,pearson_corr,spearman_p,pearson_p,abs_spearman
mean_span_length,0.7857142857142859,0.8398071713578341,0.03623846267982713,0.018060757707421226,0.7857142857142859
learning_rate,0.7500000000000002,0.7824272774502791,0.05218140045705776,0.037572708339069075,0.7500000000000002
warmup_ratio,-0.7500000000000002,-0.6830189805463864,0.05218140045705776,0.0907830600695642,0.7500000000000002
max_missing_prop,0.5357142857142858,0.3237969788962609,0.21521745567801273,0.47866239027664625,0.5357142857142858
drop_prob,0.39285714285714296,0.2832038066236825,0.38331687042697266,0.5382644648133061,0.39285714285714296
batch_size_expo,0.22237479499833038,0.1328422328310143,0.6317493389261648,0.7764646249718139,0.22237479499833038
masking_prob,0.1785714285714286,0.14672746990318303,0.7016579425162729,0.7535803771437085,0.1785714285714286
min_past_expo,0.10910894511799621,0.03483665071458093,0.8158714843641037,0.9408953446521269,0.10910894511799621
