dataset,Naive_accuracy,Naive_f1,1NN_accuracy,1NN_f1,5NN_accuracy,5NN_f1,RF_small_accuracy,RF_small_f1,RF_large_accuracy,RF_large_f1
UCI-HAR,0.18221920597217509,0.05137772675086108,0.8534102477095351,0.850884480296623,0.8802171700033933,0.8766075990140537,0.8910756701730573,0.8865870398219382,0.9260264675941635,0.9241958282444878
ArrowHead,0.3942857142857143,0.1885245901639344,0.76,0.7598337274449559,0.7142857142857143,0.704940709242799,0.68,0.6776818151968292,0.7085714285714285,0.7060701188305107
DistalPhalanxTW,0.302158273381295,0.07734806629834254,0.5827338129496403,0.4310723733137527,0.6115107913669064,0.4090764790764791,0.697841726618705,0.4986299779403229,0.6906474820143885,0.5328861404573549
GestureMidAirD2,0.038461538461538464,0.0028490028490028487,0.4846153846153846,0.46467933775626086,0.5384615384615384,0.5082477351708121,0.5384615384615384,0.5327855904778982,0.5692307692307692,0.5607473722858338
Wafer,0.8921155094094744,0.4714910400411558,0.995944192083063,0.9895134163962396,0.9925373134328358,0.9805898138006572,0.972744970798183,0.9213976742470268,0.9888059701492538,0.9700275999268512
Average,0.3618480483020394,0.15831808522065932,0.7353407274715246,0.6991966670415664,0.7474025055100777,0.6958924672609602,0.7560247812102968,0.7034164195368031,0.7766564235120006,0.7387854119490077
