dataset,id,accuracy
ArrowHead,171,0.7371428571428571
DistalPhalanxTW,252,0.7194244604316546
GestureMidAirD2,331,0.5923076923076923
UCI-HAR,48,0.9083814048184594
Wafer,474,0.9982154445165476
Average,,0.7910943718434422
