dataset,test_accuracy
UCI-HAR,0.8910756701730573
ArrowHead,0.6742857142857143
DistalPhalanxTW,0.6618705035971223
GestureMidAirD2,0.6
Wafer,0.9965931213497728
Average,0.7647650018811334
