dataset,test_accuracy
UCI-HAR,0.8775025449609772
ArrowHead,0.7028571428571428
DistalPhalanxTW,0.6474820143884892
GestureMidAirD2,0.6153846153846154
Wafer,0.995295262816353
Average,0.7677043160815156
