dataset,test_accuracy
UCI-HAR,0.8961655921275874
ArrowHead,0.6857142857142857
DistalPhalanxTW,0.6402877697841727
GestureMidAirD2,0.6307692307692307
Wafer,0.9957819597663855
Average,0.7697437676323324
