hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
TrainInnerModel,0.6384770025669514,8.916836455637375e-13,0.635626845367636,1.2081646819301673e-12,0.6384770025669514
num_train_epochs,0.3420146112308506,0.0004962070420022826,0.2932064688751044,0.003070805132383092,0.3420146112308506
learning_rate,0.19790504915275972,0.048411668774281304,0.19014679861865053,0.05810719878346052,0.19790504915275972
dropout_head,0.10494027933175243,0.2987668568705968,0.10334304384280509,0.30622263382161236,0.10494027933175243
warmup_ratio,-0.05836485161552618,0.5640727831275639,-0.07134425741333617,0.4805785034907529,0.05836485161552618
effective_batch_size,0.017308589322161595,0.8642846552461237,0.004084024316580941,0.9678324743322346,0.017308589322161595
