hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
num_train_epochs,0.49328330228993766,0.0003166248471621794,0.5029357098152463,0.00023051037948454542,0.49328330228993766
learning_rate,0.3018993929631441,0.035013041168972685,0.013667213953778491,0.9257406805751206,0.3018993929631441
warmup_ratio,-0.2528337212842025,0.07964510979413789,-0.254240022910462,0.07792904343014564,0.2528337212842025
dropout_head,0.22092316478124885,0.12714494547785274,0.2038160225761993,0.1601178734594316,0.22092316478124885
effective_batch_size,-0.17964346476985854,0.21678628398837943,-0.14933225252471607,0.30578952475678606,0.17964346476985854
