hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
num_train_epochs,0.5338544575178193,7.804365799262787e-05,0.2779867999948414,0.05311533151824284,0.5338544575178193
learning_rate,0.29422120407788,0.040165163971140116,-0.1677330614025599,0.2493190585421128,0.29422120407788
warmup_ratio,-0.22048730884851186,0.12791594652682092,-0.01972453688493654,0.8929910771165457,0.22048730884851186
effective_batch_size,0.06515597376642078,0.6564709118519392,0.0801206967882982,0.5842086626440606,0.06515597376642078
dropout_head,0.003878045700644967,0.9789019155497103,0.13316103319276845,0.3616975104907964,0.003878045700644967
