hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
TrainInnerModel,0.830572740674358,1.1772087490203158e-26,0.902713406051235,1.1287054110283462e-37,0.830572740674358
num_train_epochs,0.2554660560812759,0.010309911555387387,0.11242327121225737,0.26543664955157825,0.2554660560812759
effective_batch_size,0.13313078810854587,0.1866827229138907,0.1294218578511387,0.19936878239785097,0.13313078810854587
learning_rate,0.13253243405999754,0.18868860853812497,0.0013639318005399664,0.9892545414538092,0.13253243405999754
warmup_ratio,-0.09139733329565436,0.3657954232849038,-0.018138580519870426,0.8578434339702294,0.09139733329565436
dropout_head,0.05154039102333236,0.6105681102430647,0.09515206578681142,0.3463480284500167,0.05154039102333236
