,mean_importance,std_importance,min_importance,max_importance
warmup_ratio,0.3742007223451235,0.09919640695876251,0.24739301827595445,0.5721710506270479
num_train_epochs,0.1087827519778702,0.03546700119264249,0.07350185093773545,0.19104754395561413
dropout_head,0.0868646482399047,0.02463839889418693,0.05298671234051075,0.11707868783411125
learning_rate,0.05965507349997736,0.02855212523761305,0.025077934639845638,0.09972190018947574
effective_batch_size,0.05191276552164102,0.026815019382418717,0.02379288333000317,0.10409558981652889
