,mean_importance,std_importance,min_importance,max_importance
effective_batch_size,0.24524821423103438,0.06874231471052412,0.14118931813573954,0.3477117527102863
learning_rate,0.1379565201759106,0.056425855448216516,0.07178695291063357,0.24875878559915549
num_train_epochs,0.1240493718338221,0.041255128288838906,0.06598355240225862,0.1757221112100626
warmup_ratio,0.10438788491416835,0.04338666059337422,0.05025702537712837,0.18610275308859694
dropout_head,0.08474767677164521,0.04563432979759494,0.03351686474951755,0.16336113661721252
