,mean_importance,std_importance,min_importance,max_importance
num_train_epochs,0.29917111505678506,0.05879346434168818,0.22500227231864028,0.392257556054194
learning_rate,0.21827872440182042,0.0414912685143374,0.1671796947840743,0.3077439425383523
effective_batch_size,0.08527926405592272,0.026286777439707188,0.06264654161574565,0.1369455925036437
warmup_ratio,0.07911089249460818,0.04234885728406593,0.03449212174527275,0.16181032474290946
dropout_head,0.05101915488778293,0.034078869683349826,0.008685593734204914,0.10584033121343281
