,mean_importance,std_importance,min_importance,max_importance
learning_rate,0.5123396143333959,0.07898304820219418,0.3870192836605848,0.6872461732709727
warmup_ratio,0.138482397905624,0.04988349119007454,0.08235890208743187,0.2300794623690901
dropout_head,0.05592559962490683,0.031087789163944293,0.004878746649751419,0.10073658340686673
num_train_epochs,0.042412152082102375,0.02135066258509525,0.019823888839178176,0.08544175930951446
effective_batch_size,0.0404100315844693,0.02145584976676615,0.011270456849952728,0.0736317404551535
