,mean_importance,std_importance,min_importance,max_importance
warmup_ratio,0.4724071655142244,0.0842835840080852,0.3908798434186337,0.6868948872417644
learning_rate,0.14213119434603655,0.06106611507229067,0.04531808621490262,0.24673955535408007
dropout_head,0.059994551268813354,0.0356166766236739,0.0131419717621728,0.134279765862129
num_train_epochs,0.05224977848304624,0.023924842338036906,0.009595989992695899,0.09015541856725866
effective_batch_size,0.013843970384436688,0.005229364402079704,0.005903878799918819,0.023839902974868748
