dataset,Default_accuracy,Optimized_accuracy,Random_accuracy,Default_f1,Optimized_f1,Random_f1
ArrowHead,0.6228571428571429,0.5885714285714285,0.3942857142857143,0.6112390280126694,0.5089048378522062,0.1885245901639344
DistalPhalanxTW,0.6402877697841727,0.5971223021582733,0.5611510791366906,0.49170923797360583,0.42609755728196513,0.36168800069662144
GestureMidAirD2,0.5,0.2153846153846154,0.2692307692307692,0.4748480152326306,0.17341026706351786,0.2408273350581043
UCI-HAR,0.8856464200882254,0.8242280285035629,0.8883610451306413,0.8839836688066188,0.8204749623172765,0.8868292868040591
Wafer,0.9965931213497728,0.9631732641142116,0.9394873458792992,0.9911563887343908,0.9022011773506877,0.8431277669349124
Average,0.7290768908158627,0.6376959277464184,0.6105031907326228,0.6905872677519831,0.5662177603731307,0.5041993959315263
