hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
num_train_epochs,0.5298968894635453,9.017888049896645e-05,0.4065580906104612,0.0037459950724770524,0.5298968894635453
dropout_head,0.25170954604787277,0.08103816782793326,0.05913198074379318,0.6865129218771038,0.25170954604787277
learning_rate,0.21763083887414605,0.13305618095562227,0.15712414177723516,0.28094901644624354,0.21763083887414605
effective_batch_size,-0.07723426057164744,0.5978658188567714,-0.03342005220874818,0.8196736475983966,0.07723426057164744
warmup_ratio,0.018761279213288455,0.8981886647413925,0.1290661008724534,0.3767802417557384,0.018761279213288455
