hyperparameter,spearman_corr,spearman_p,pearson_corr,pearson_p,abs_spearman
TrainInnerModel,0.6823838287595811,5.3690339058762135e-15,0.6425166943484808,5.765955704001287e-13,0.6823838287595811
num_train_epochs,0.3788322111102584,0.00010166030187935276,0.2786545608424006,0.004995192123132068,0.3788322111102584
learning_rate,0.26330122780473175,0.008126081015244748,0.31617031429697295,0.0013526127325005455,0.26330122780473175
dropout_head,0.08905537789321163,0.3782584348268746,0.010692212534303714,0.915914916312849,0.08905537789321163
warmup_ratio,-0.01917402680929352,0.8498208535680234,0.00528186914204748,0.9584052001649807,0.01917402680929352
effective_batch_size,-0.006434119790730641,0.9493421472344139,0.04353300987512165,0.6671513429492192,0.006434119790730641
